id,title,url,comment_count,vote_count,published_at
38597354,ถึงคนที่มีทุกอย่างอย่างที่ฝันไว้แล้ว..ว่าจริงหรือ ที่เงินมันซื้อความสุขได้,https://pantip.com/topic/38597354,126,3,2019-02-26 23:06:26+06:42
41041562,เด็กจบใหม่กับความเครียดจากครอบครัวและการหางาน,https://pantip.com/topic/41041562,211,0,2021-10-15 01:21:22+06:42
41040956,พนักงานออฟฟิศ สิ่งไหนที่เจ้านายทำแล้ว พนักงานรู้สึกแย่สุด,https://pantip.com/topic/41040956,275,0,2021-10-14 19:51:54+06:42
41031597,มีวิธีรับมืออย่างไรเมื่อเจอกับคนที่ทำงานเก่งมากๆ แต่ไม่ค่อยเข้ากลุ่มเข้าสังคมอะไรเลย,https://pantip.com/topic/41031597,496,15,2021-10-10 09:05:21+06:42
30467953,คนขายประกันที่บอกว่าไปเที่ยวเมืองนอก ได้เงินเดือนเป็นแสนมันจริงหรือค่ะ,https://pantip.com/topic/30467953,538,0,2013-05-10 09:59:20+06:42
30108643,หมอไม่ได้รวยอย่างที่คิด งานหนักกว่าอาขีพอื่น2เท่า พ่อแม่อย่าบังคับลูกเรียนเลยครับ,https://pantip.com/topic/30108643,687,146,2013-02-02 23:24:30+06:42
30514740,มีใครเป็นเจ้าของกิจการอายุไม่มากบ้างครับ รายได้ต่อเดือนประมาณเท่าไรกันบ้างครับ,https://pantip.com/topic/30514740,903,2,2013-05-21 21:33:53+06:42
41020721,รู้สึกหมดไฟ ไม่มีความสุขในการทำงาน อยากลาออก,https://pantip.com/topic/41020721,979,7,2021-10-05 02:30:37+06:42
32247592,10 คำขอพิลึกจากลูกค้าที่พนักงานโรงแรมปวดกบาลที่สุด!?,https://pantip.com/topic/32247592,1137,333,2014-06-27 08:26:55+06:42
33969550,สรุปแล้ว.ปัญหาแบงค์พาณิชย์หลอกเงินฝากเป็นประกันชีวิตเอาเป้าเข้าตัวเอง บ.ประกันได้เงิน คนมันโง่เอง.แบงค์ชาติไม่เกี่ยวหรือ,https://pantip.com/topic/33969550,1211,259,2015-07-25 19:51:18+06:42
36518165,เหตุผลที่ว่าทำไมคนรวยจะยิ่งรวยขึ้น คนจนจะยิ่งจนขึ้น,https://pantip.com/topic/36518165,1298,107,2017-05-31 22:18:02+06:42
32329587,ชีวิต 800 บาท ปล่อย ทีเซอร์มาแล้วน่ะครับ,https://pantip.com/topic/32329587,1445,401,2014-07-16 09:26:05+06:42
31544782,มีเงินติดตัว 3000 ควรไปหางาน IT กรุงเทพดีไหม ช่วยแนะนำที,https://pantip.com/topic/31544782,1522,3,2014-01-21 00:04:46+06:42
41027957,จริงหรือไม่? สาเหตุที่ผญ.คงความโสดมากขึ้น มาจากจำนวนประชากรชายที่ลดลง...,https://pantip.com/topic/41027957,1623,0,2021-10-08 13:11:47+06:42
32172668,Unicity รวยจริงหรือหลอกค่ะ,https://pantip.com/topic/32172668,1679,0,2014-06-10 14:31:35+06:42
41018419,ขอ How to ในการตื่นไปทำงานเช้าวันจันทร์แบบมีความสุขด้วยครับ,https://pantip.com/topic/41018419,1744,1,2021-10-03 23:35:47+06:42
35809887,อีกมุมหนึ่งของอาชีพ ผู้ตรวจสอบบัญชีฯ (CPA) ที่อยากเล่าสู่กันฟังครับ :D,https://pantip.com/topic/35809887,1812,54,2016-11-15 07:18:11+06:42
30524545,พี่สอนน้อง ... 10 เหตุผล คนไอที เลือกงานอย่างไรให้ก้าวหน้า,https://pantip.com/topic/30524545,1900,236,2013-05-24 12:35:50+06:42
40980378,ทำไมผมถึงจนจังครับ ผมทำอะไรผิดไป ผมควรเดินทางไหน,https://pantip.com/topic/40980378,2138,21,2021-09-16 01:06:58+06:42
41023301,"เงินเดือน 15,000 อยู่กรุงเทพตอนนี้ ไหวมั้ย ?",https://pantip.com/topic/41023301,2231,0,2021-10-06 10:29:24+06:42
40935535,ตอนนี้คุณมีเงินเก็บในชีวิตเท่าไรครับ,https://pantip.com/topic/40935535,2296,0,2021-08-26 00:40:22+06:42
35725482,"อยากทราบอาชีพ ของคนที่มีรายได้ 80k+(80,000+) ขึ้นไปอ่ะครับ",https://pantip.com/topic/35725482,2463,4,2016-10-22 22:05:13+06:42
39945477,ถ้าอายุเรามากขึ้น 35+ เราจะไปทำงานที่ไหนได้บ้างหรอครับ,https://pantip.com/topic/39945477,2548,0,2020-05-31 20:26:29+06:42
34416593,สังคมในชนบทมันไม่ได้สวยงามอย่างที่เราคิดเหรอคะ,https://pantip.com/topic/34416593,2764,116,2015-11-08 12:27:58+06:42
41003042,อยากเริ่มเก็บเงินจริงจังสักที มีใครพอจะมีวิธีเก็บเงินบ้างค่ะ วิธีไหนก็ได้,https://pantip.com/topic/41003042,2832,1,2021-09-26 21:16:04+06:42
41014276,คุณเคยกินชาบู บุพเฟ่ หมูกระทะ ที่ร้าน คนเดียวไหม?,https://pantip.com/topic/41014276,2945,2,2021-10-01 23:02:33+06:42
38156103,เงินเดือนเท่าไหร่ ถึงจะมีลูกได้แบบไม่ต้องลำบากเรื่องเงินครับ,https://pantip.com/topic/38156103,3060,0,2018-10-13 08:36:36+06:42
40614843,คำพูดแรงๆที่จำฝังใจจากคนที่ได้ชื่อว่าเป็น 'หัวหน้างาน' คือประโยคไหนบ้างคะ,https://pantip.com/topic/40614843,3218,6,2021-03-31 15:10:25+06:42
40242499,ถ้าเรากลับไปทำงานที่เก่า คนอื่นจะมองว่าเราไปไม่รอดไหมคะ,https://pantip.com/topic/40242499,3278,0,2020-10-06 11:08:09+06:42
32730400,10 บทเรียนที่ได้รับจากการลาออกจากงาน (โดนกับตัวเลยครับ โดยเฉพาะข้อ 2.),https://pantip.com/topic/32730400,3388,132,2014-10-18 11:26:58+06:42
40595365,ทำไมคนไทยไม่ค่อยนิยมออมเงินเพื่อเกษียณเร็ว?,https://pantip.com/topic/40595365,3526,11,2021-03-21 21:26:11+06:42
32747007,เหตุผลลาออกจากงานแบบไหนจะถนอมน้ำใจที่สุดครับ ?,https://pantip.com/topic/32747007,3597,0,2014-10-21 22:47:24+06:42
38982510,อยากถามคนที่เลิกทำงานบริษัทแล้ว ว่า ตอนออกเงินเดือนเท่าไร อายุเท่าไร ทำไมตัดสินใจออก ขอทั้งออกมาทำกิจการเองกับเกษียนอายุ,https://pantip.com/topic/38982510,3676,2,2019-06-20 08:10:23+06:42
40795835,มีใครที่ 10-20 ปีที่แล้วตัดสินใจไม่รับราชการ แล้วตอนนี้รุ้สึกว่าคิดถูกอย่างแรง หรือ คิดผิดอย่างแรง แชร์กันครับ,https://pantip.com/topic/40795835,3782,2,2021-06-23 12:52:24+06:42
